id,name,task_description,area,budgeted_amount,status,asset_id,asset_type,fiscal_year,start_date,inactive,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude,holc_id,holc_grade
2075086284,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Final Design,Engineering and Construction,100000,Planned,TS280,Signalized Intersection,2018,2/14/18,f,South Side Slopes,3,17,42003170600,3,17,3,3-Apr,40.423827,-79.97769255,2075086284,D26
412892934,18TH STREET SIGNAL UPDATES (TIP),18TH STREET SIGNALS -  FINAL DESIGN,Engineering and Construction,92000,Planned,TS279,Signalized Intersection,2019,2/6/19,f,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.42695281,-79.98074075,412892934,D26
872441123,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Preliminary Design,Engineering and Construction,65667,Planned,TS280,Signalized Intersection,2018,2/14/18,f,South Side Slopes,3,17,42003170600,3,17,3,3-Apr,40.423827,-79.97769255,872441123,D26
716043040,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Preliminary Design,Engineering and Construction,65667,Planned,TS279,Signalized Intersection,2018,2/14/18,f,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.42695281,-79.98074075,716043040,D26
1873229476,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Preliminary Design,Engineering and Construction,65667,Planned,TS281,Signalized Intersection,2018,2/14/18,f,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.42783844,-79.98065191,1873229476,D26
1094206348,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Final Design,Engineering and Construction,100000,Planned,TS281,Signalized Intersection,2018,2/14/18,f,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.42783844,-79.98065191,1094206348,D26
171113822,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Final Design,Engineering and Construction,100000,Planned,TS279,Signalized Intersection,2018,2/14/18,f,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.42695281,-79.98074075,171113822,D26
225411715,18TH STREET SIGNAL UPDATES (TIP),Preliminary Engineering,Engineering and Construction,52600,In Progress,,Non-Asset,2018,2/8/18,f,South Side Slopes,3,17,42003160800,3,17,3,3-Apr,40.42239573,-79.97832514,225411715,D26
1782220567,18TH STREET SIGNAL UPDATES (TIP),Preliminary Engineering,Engineering and Construction,210400,In Progress,,Non-Asset,2018,2/8/18,f,South Side Slopes,3,17,42003160800,3,17,3,3-Apr,40.42254275,-79.97820176,1782220567,D26
664550967,18TH STREET SIGNAL UPDATES (TIP),18TH STREET SIGNALS -  FINAL DESIGN,Engineering and Construction,23000,Planned,TS279,Signalized Intersection,2019,2/6/19,f,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.42695281,-79.98074075,664550967,D26
1161600901,28TH STREET BRIDGE (TIP),28TH STREET BRIDGE - PRELIMINARY ENGINEERING,Engineering and Construction,12500,Planned,28th Street Bridge,Bridge,2020,9/24/20,,Strip District,7,6,42003060500,6,6,2,25-Feb,40.45604242,-79.97374797,,
1365853602,28TH STREET BRIDGE (TIP),28TH STREET BRIDGE - PRELIMINARY ENGINEERING,Engineering and Construction,712500,Planned,28th Street Bridge,Bridge,2019,2/6/19,f,Strip District,7,6,42003060500,6,6,2,25-Feb,40.45604242,-79.97374797,,
1182494633,28TH STREET BRIDGE (TIP),28TH STREET BRIDGE - PRELIMINARY ENGINEERING,Engineering and Construction,237500,Planned,28th Street Bridge,Bridge,2020,9/24/20,,Strip District,7,6,42003060500,6,6,2,25-Feb,40.45604242,-79.97374797,,
842575827,28TH STREET BRIDGE (TIP),28TH STREET BRIDGE - PRELIMINARY ENGINEERING,Engineering and Construction,37500,Planned,28th Street Bridge,Bridge,2019,2/6/19,f,Strip District,7,6,42003060500,6,6,2,25-Feb,40.45604242,-79.97374797,,
2001704845,7500 - FACILITY IMPROVEMENTS,Exterior Masonry Repairs,Facility Improvement,187000,Completed,Firehouse 28,Facility,2017,5/15/17,f,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41312224,-80.02517411,2001704845,C36
203837658,7500 - FACILITY IMPROVEMENTS,Law Dept Abatement & Renovation,Facility Improvement,75000,Completed,City-County Building,Facility,2017,11/14/17,f,Central Business District,6,1,42003020100,6,1,2,4-Jan,40.43812088,-79.9968965,,
392003694,7500 - FACILITY IMPROVEMENTS,Exterior Masonry Repairs and Cleaning,Facility Improvement,,Completed,Olympia Park Recreation Center,Facility,2017,6/8/17,f,Mount Washington,2,19,42003190300,5,19,3,1-Apr,40.43127842,-80.01830677,392003694,C37
1464142515,7500 - FACILITY IMPROVEMENTS,EIFS & Glazing Replacement,Facility Improvement,380000,Completed,Firehouse 22,Facility,2017,8/28/17,f,South Side Slopes,3,16,42003170600,3,16,3,22-Apr,40.4182136,-79.9789714,1464142515,C33
1137635699,7500 - FACILITY IMPROVEMENTS,Exterior Masonry Repairs by Contractor,Facility Improvement,167000,Completed,Firehouse 26,Facility,2017,3/20/17,f,Brookline,4,19,42003191800,5,19,6,26-Apr,40.39479049,-80.02185285,1137635699,B22
913335422,7500 - FACILITY IMPROVEMENTS,,Facility Improvement,122595,Completed,Arsenal Park Building,Roofing System,2017,4/3/17,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-Mar,40.46681008,-79.96031548,913335422,C13
759573196,7500 - FACILITY IMPROVEMENTS,,Facility Improvement,24414.57,Completed,Arsenal Park Building,Facility,2017,4/17/17,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-Mar,40.46676128,-79.96032511,759573196,C13
896139348,7500 - FACILITY IMPROVEMENTS,9th Floor OMI-Cable Bureau Temp Control System,Facility Improvement,80000,Completed,City-County Building,Facility,2017,4/18/17,f,Central Business District,6,1,42003020100,6,1,2,4-Jan,40.43812088,-79.9968965,,
1072948182,ADA COMPLIANCE,Rug Tiles in City Facilities,Administration/Sub-Award,5000,Planned,,Non-Asset,2018,2/12/18,,,,,,,,,,,,,
1515934707,ADA COMPLIANCE,Interpretive Services,Administration/Sub-Award,15000,Planned,,Non-Asset,2018,2/12/18,,,,,,,,,,,,,
1783460688,ADA COMPLIANCE,RUG TILES IN HEALTHY ACTIVE LIVING CENTERS,Administration/Sub-Award,5000,Planned,,Non-Asset,2019,3/20/19,,,,,,,,,,,,,
2097936149,ADA COMPLIANCE,INTERPRETIVE SERVICES,Administration/Sub-Award,25000,Planned,,Non-Asset,2020,9/24/20,,,,,,,,,,,,,
537021270,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - Homewood,Administration/Sub-Award,8300,Planned,Homewood Senior Center,Facility,2017,2/8/17,f,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45690353,-79.89300124,537021270,C18
140549228,ADA COMPLIANCE,FIRST RESPONDER'S GUIDE FOR PEOPLE WITH DISABILITIES,Administration/Sub-Award,10000,Planned,,Non-Asset,2019,3/20/19,,,,,,,,,,,,,
2087955637,ADA COMPLIANCE,INTERPRETIVE SERVICES,Administration/Sub-Award,15000,Planned,,Non-Asset,2019,3/20/19,,,,,,,,,,,,,
1734931717,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - Morningside,Administration/Sub-Award,8300,Planned,Morningside Senior Center,Facility,2017,2/8/17,f,Morningside,7,10,42003101400,2,10,5,7-Mar,40.48389771,-79.92497828,1734931717,B9
1806057609,ADA COMPLIANCE,First Responders Guide for People with Disabilities,Administration/Sub-Award,8000,Planned,,Non-Asset,2017,2/8/17,,,,,,,,,,,,,
1863101839,ADA COMPLIANCE,ADA TRANSITION PLAN ACTIVITIES,Administration/Sub-Award,25000,Planned,,Non-Asset,2020,9/24/20,,,,,,,,,,,,,
820702035,ADA COMPLIANCE,"BRAILING FORMS, BROCHURES, AND SIGNS",Administration/Sub-Award,10000,Planned,,Non-Asset,2019,3/20/19,,,,,,,,,,,,,
1068007412,ADA COMPLIANCE,Mt. Washington - Hearing Loops in Healthy Active Living Centers,Administration/Sub-Award,7000,Planned,Mount Washington Senior Center,Facility,2018,2/12/18,f,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.43005944,-80.00798976,1068007412,C33
2064048649,ADA COMPLIANCE,North Side - Hearing Loops in Healthy Active Living Centers,Administration/Sub-Award,6000,Planned,Allegheny Northside Senior Center and Hazlett Theater,Facility,2018,2/12/18,f,Allegheny Center,1,22,42003562700,1,22,1,6-Jan,40.45309849,-80.00533248,2064048649,D2
845185720,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - South Side Market House,Administration/Sub-Award,8400,Planned,Southside Market House,Facility,2017,2/8/17,f,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.4294384,-79.98642546,845185720,D26
1969596196,ADA COMPLIANCE,Glen Hazel - Hearing Loops in Healthy Active Living Centers,Administration/Sub-Award,7000,Planned,Glen Hazel Senior Center,Facility,2018,2/12/18,f,Glen Hazel,5,15,42003562300,3,15,4,13-Feb,40.4067371,-79.93311122,1969596196,C21
768422847,ADVANCED TRANSPORTATION AND CONGESTION MANAGEMENT TECHNOLOGIES DEVELOPMENT (ATCMTD),ATCMTD - Design Services,Engineering and Construction,2570726,Planned,,Non-Asset,2018,2/12/18,,,,,,,,,,,,,
417623467,ADVANCED TRANSPORTATION AND CONGESTION MANAGEMENT TECHNOLOGIES DEVELOPMENT (ATCMTD),ATCMTD - SMART SIGNALS,Engineering and Construction,10306977.5,Planned,,Non-Asset,2019,3/20/19,,,,,,,,,,,,,
1084471235,ADVANCED TRANSPORTATION AND CONGESTION MANAGEMENT TECHNOLOGIES DEVELOPMENT (ATCMTD),ATCMTD - SMART SIGNALS,Engineering and Construction,1000000,Planned,,Non-Asset,2019,3/20/19,,,,,,,,,,,,,
227770174,ADVANCED TRANSPORTATION AND CONGESTION MANAGEMENT TECHNOLOGIES DEVELOPMENT (ATCMTD),SMART SIGNALS,Engineering and Construction,3492571,Planned,,Non-Asset,2020,9/24/20,,,,,,,,,,,,,
1082939755,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Haberman/Warrington/Busway Intersection Signal Update Design and Construction,Engineering and Construction,25000,Canceled,,Non-Asset,2017,3/2/17,f,Mount Washington,3,18,42003562400,5,18,3,16-Apr,40.42108072,-80.00245965,1082939755,C33
868104804,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Walnut Street and South Aiken Avenue Traffic Signal Update,Engineering and Construction,200000,Completed,TS7,Signalized Intersection,2018,1/16/18,f,Shadyside,8,7,42003070300,2,7,4,22-Mar,40.45063462,-79.9355028,868104804,B12
1617483728,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Brownsville Road and Parkfield Street,Engineering and Construction,100000,In Progress,TS168,Signalized Intersection,2018,2/8/18,f,Carrick,4,29,42003290400,3,29,3,12-Apr,40.391331,-79.98660607,1617483728,B21
1320892726,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,North Avenue - Design,Engineering and Construction,626000,Planned,TS206,Signalized Intersection,2018,2/12/18,f,East Allegheny,1,22,42003563200,1,22,1,6-Jan,40.45621897,-80.00262081,1320892726,D2
957216866,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Countdown Pedestrian Signal Upgrade,Engineering and Construction,70000,Planned,TS529,Signalized Intersection,2018,2/12/18,f,Squirrel Hill North,8,14,42003140300,3,14,4,18-Feb,40.44385115,-79.92051276,957216866,B13
2058442136,BEDFORD DWELLINGS CHOICE NEIGHBORHOOD,BEDFORD - CHOICE NEIGHBORHOOD,Neighborhood and Community Development,500000,Planned,,Non-Asset,2019,3/20/19,,,,,,,,,,,,,
525902753,BEDFORD DWELLINGS CHOICE NEIGHBORHOOD,BEDFORD - CHOICE NEIGHBORHOOD,Neighborhood and Community Development,1500000,Planned,,Non-Asset,2019,3/20/19,,,,,,,,,,,,,
1745906161,BEECHVIEW COMMUNITY AND SENIOR CENTER,Beechview Senior Center Closeout,Facility Improvement,250000,Completed,Beechview Senior and Community Center,Facility,2018,2/8/18,f,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41073201,-80.0243584,1745906161,C36
1709604652,BIKE INFRASTRUCTURE,Bike Lanes - 18th Street,Engineering and Construction,110000,Planned,,Non-Asset,2017,3/1/17,f,South Side Slopes,3,17,42003160800,3,17,3,3-Apr,40.42239981,-79.97831977,1709604652,D26
439928329,BIKE INFRASTRUCTURE,Bike Facilities - Baum/Centre Crossing,Engineering and Construction,100000,Planned,TS216,Signalized Intersection,2017,2/8/17,f,Shadyside,8,7,42003070900,2,7,4,11-Mar,40.4572618,-79.93405726,439928329,C13
1543255831,BIKE INFRASTRUCTURE,Bike Lanes - Ellsworth Avenue,Engineering and Construction,100000,Planned,,Non-Asset,2017,3/1/17,f,Shadyside,8,7,42003070300,2,7,4,22-Mar,40.45275109,-79.9366742,1543255831,B12
856704340,BIKE INFRASTRUCTURE,Bike Lanes - Brighton Road,Engineering and Construction,70000,Planned,,Non-Asset,2017,3/2/17,f,California-Kirkbride,6,25,42003220600,1,25,1,21-Jan,40.45610355,-80.01540399,856704340,D2
850241936,BIKE SHARE,Import Duties and Customs,Engineering and Construction,18000,Planned,,Non-Asset,2017,2/8/17,,,,,,,,,,,,,
563830573,BIKE SHARE,Shipping,Engineering and Construction,9000,Planned,,Non-Asset,2017,2/8/17,,,,,,,,,,,,,
586449757,BIKE SHARE,"Phase II - Planning, Engineering, and Siting",Engineering and Construction,66500,Planned,,Non-Asset,2018,2/12/18,,,,,,,,,,,,,
509160176,BIKE SHARE,Education and Outreach,Engineering and Construction,1500,Planned,,Non-Asset,2017,2/8/17,,,,,,,,,,,,,
279361630,BIKE SHARE,Administration,Engineering and Construction,10000,Planned,,Non-Asset,2017,2/8/17,,,,,,,,,,,,,
2138074579,BIKE SHARE,"Planning, Engineering, and Siting",Engineering and Construction,50000,Planned,,Non-Asset,2017,2/8/17,,,,,,,,,,,,,
640076703,BIKE SHARE,Docks (500),Engineering and Construction,125000,Planned,,Non-Asset,2017,2/8/17,,,,,,,,,,,,,
