"","Law ID","State","Effect","Law Class","Law Class Subcategory","Definition","Type of Change","Handguns or Longguns","Effective Date","Content","Supersession Date"
"1","AK1001","Alaska",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Handgun",NA,"No law requiring background checks for private sales of handguns",NA
"2","AK1002","Alaska","Restrictive","Carrying A Concealed Weapon (Ccw)","Prohibited","Prohibits individuals from carrying guns in a concealed manner","Implement","Handgun",1978-01-01,"It is unlawful for a person to carry concealed about his person, in any manner, [enumerated weapons].","1994-10-01"
"3","AK1003","Alaska","Permissive","Carrying A Concealed Weapon (Ccw)","Shall Issue","Requires permits for concealed carrying; removes Law Enforcement discretion in issuing permit; only objective criteria for issuing permits","Modify","Handgun",1994-10-01,"Sec. 18.65.700. Permit to carry a concealed handgun.

(a) The department shall issue a permit to carry a concealed handgun to a person who

(1) applies in person at an office of the Alaska State Troopers;

(2) qualifies under AS 18.65.705;

(3) submits on an application form approved by the department the information required under AS 18.65.705 and 18.65.710; the department shall post on the department's website the state laws and regulations relating to concealed handguns, which must include a concise summary of where, when, and by whom a handgun can be carried under state and federal law and shall, on request, mail a copy of the regulations and summary to an applicant or permittee;

(4) submits one complete set of fingerprints in the format approved by the department that is of sufficient quality so that the fingerprints may be processed; the fingerprints must be taken by a person, group, or agency approved by the department; the department shall maintain a list of persons, groups, or agencies approved to take fingerprints and shall provide the list to the public upon request; the fingerprints shall be used to obtain a report of criminal justice information under AS 12.62 and a national criminal history record check under AS 12.62.400;

(5) submits evidence of successful completion of a handgun course as provided in AS 18.65.715;

(6) provides one frontal view color photograph of the person taken within the preceding 30 days that includes the head and shoulders of the person and is of a size specified by the department;

(7) shows a valid Alaska driver's license or identification card at the time of application;

(8) does not suffer a physical infirmity that prevents the safe handling of a handgun; and

(9) pays the application fee required by AS 18.65.720.","2003-09-09"
"4","AK1004","Alaska","Permissive","Carrying A Concealed Weapon (Ccw)","Shall Issue (Permit Not Required)","Allows individuals to carry concealed weapons without a permid","Modify","Handgun",2003-09-09,"§ 11.61.220(a) A person commits the crime of misconduct involving weapons in the fifth degree if the person

(1) is 21 years of age or older and knowingly possesses a deadly weapon, other than an ordinary pocket knife or a defensive weapon,

(A) that is concealed on the person, and, when contacted by a peace officer, the person fails to

(i) immediately inform the peace officer of that possession; or

(ii) allow the peace officer to secure the deadly weapon, or fails to secure the weapon at the direction of the peace officer, during the duration of the contact;

(B) that is concealed on the person within the residence of another person unless the person has first obtained the express permission of an adult residing there to bring a concealed deadly weapon within the residence;

(2) knowingly possesses a loaded firearm on the person in any place where intoxicating liquor is sold for consumption on the premises.",NA
"5","AK1005","Alaska","Permissive","Castle Doctrine",NA,"Allows individuals to use deadly force in defense of themselves, others, and their homes without the duty to retreat","Modify","Handgun And/Or Long Gun",1978-01-01,"b) A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others the person can avoid the necessity of using deadly force entreating, except there is no duty to leave the area retreat if the person is

(1) on premises

(A) which the person owns or leases.","2006-09-13"
"6","AK1006","Alaska","Permissive","Castle Doctrine","Expanded 2","Expands castle doctrine beyond the home, vehicle, or place of work to other specific places, although duty to retreat from a threat of deadly force exists in some contexts","Modify","Handgun And/Or Long Gun",2006-09-13,"A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others being defended, the person can avoid the necessity of using deadly force by leaving the area of the encounter, except there is no duty to leave the area if the person is 

(1) on premises (A) that the person owns or leases; (B) where the person resides, temporarily or permanently; or (C) as a guest or express or implied agent of the owner, lessor, or resident; 

(2) a peace officer acting within the scope and authority of the officer's employment or a person assisting a peace officer under AS 11.81.380;

(3) in a building where the person works in the ordinary course of the person's employment;

(4) protecting a child or a member of the person's household;","2013-09-18"
"7","AK1007","Alaska",NA,"Child Access Laws","Intentional, Reckless, Or Knowing Provision","Prohibits individuals from furnishing guns to minors",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - intentional, reckless, or knowing provision",NA
"8","AK1008","Alaska",NA,"Dealer License",NA,"Requires dealers of firearms to be licensed by the state",NA,"Handgun",NA,"No law requiring dealer license for handguns",NA
"9","AK1009","Alaska","Restrictive","Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun","Implement","Long Gun",1980-01-01,"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",NA
"10","AK1010","Alaska",NA,"Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun",NA,"Handgun",NA,"No law imposing minimum age for youth possession of handguns","1980-01-01"
"11","AK1011","Alaska","Restrictive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Implement","Long Gun",1992-09-14,"A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age",NA
"12","AK1013","Alaska",NA,"Open Carry","Not Restricted","Does not restrict the open carrying of guns",NA,"Handgun",NA,"No law restricting open carry for handguns",NA
"13","AK1014","Alaska",NA,"Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring registration of handguns",NA
"14","AK1015","Alaska","Restrictive","Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun","Implement","Handgun",1980-01-01,"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",NA
"15","AK1016","Alaska","Restrictive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Implement","Handgun",1992-09-14,"A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age",NA
"16","AK1017","Alaska",NA,"Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law imposing waiting period for purchase of long guns",NA
"17","AK1018","Alaska",NA,"Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law imposing waiting period for purchase of handguns",NA
"18","AK1019","Alaska",NA,"Child Access Laws","Negligent Storage","Mandates safe storage of guns",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - negligent storage (CAP)",NA
"19","AK1020","Alaska",NA,"Dealer License",NA,"Requires dealers of firearms to be licensed by the state",NA,"Long Gun",NA,"No law requiring dealer license for long guns",NA
"20","AK1021","Alaska",NA,"Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring registration of long guns",NA
"21","AK1022","Alaska",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Long Gun",NA,"No law requiring background checks for private sales of long guns",NA
"22","AK1023","Alaska","Restrictive","Prohibited Possessor","Dvro : Expanded","Expands the DVRO provision to include dating partners","Implement","Handgun And/Or Long Gun",1996-07-01,"18.66.990(5): “household member” includes: (C) adults or minors who are dating or who have dated; (D) adults or minors who are engaged in or who have engaged in a sexual relationship.  188.66.100(c) A protective order under this section may: (6) prohibit the respondent from using or possessing a deadly weapon if the court finds the respondent was in the actual possession of or used a weapon during the commission of domestic violence;

(7) direct the respondent to surrender any firearm owned or possessed by the respondent if the court finds that the respondent was in the actual possession of or used a firearm during the commission of the domestic violence;",NA
"23","AK1024","Alaska",NA,"Safety Training Required",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring safety training for handguns",NA
"24","AK1025","Alaska",NA,"Prohibited Possessor","Erpo","Allows law enforcement officials to petition a court to remove firearms from a person who is known to be a risk to themselves or others",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting possession of firearms by individuals subject to ERPO",NA
"25","AK1026","Alaska",NA,"Prohibited Possessor","Dvro","Prohibits individuals with a domestic violence restraining order from owning, possessing, or purchasing firearms",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting individuals subject to DVRO from possessing firearms","1996-07-01"
"26","AK1027","Alaska",NA,"Prohibited Possessor","Mental Health","Prohibits the possession of firearms for those with severe mental health challenges",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting individuals with mental health issues from possessing firearms",NA
"27","AK1028","Alaska",NA,"Safety Training Required",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring safety training for long guns",NA
"28","AK1029","Alaska",NA,"Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun",NA,"Long Gun",NA,"No law imposing minimum age for youth possession of long guns","1980-01-01"
"29","AK1030","Alaska","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Handgun",1994-02-28,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 

(A) after the most recent proposal of such transfer by the transferee— 

(i) the transferor has— 

(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 

(II) verified the identity of the transferee by examining the identification document presented; 

(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or (II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",NA
"30","AK1031","Alaska","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Long Gun",1998-11-30,"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—

(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;

(B) (i) the system provides the licensee with a unique identification number; or

(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and

(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",NA
"31","AK1032","Alaska",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Handgun",NA,"No law requiring background checks for dealer sales of handguns",NA
"32","AK1033","Alaska",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Long Gun",NA,"No law requiring background checks for dealer sales of long guns",NA
"33","AK1034","Alaska",NA,"Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age",NA,"Handgun",NA,"No law imposing minimum purchase and sale age for handguns","1992-09-14"
"34","AK1035","Alaska",NA,"Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age",NA,"Long Gun",NA,"No law imposing minimum purchase and sale age for long guns","1992-09-14"
"35","AK1036","Alaska",NA,"Firearm Sales Restrictions",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law imposing any firearm ban",NA
"36","AK1037","Alaska",NA,"Open Carry","Not Restricted","Does not restrict the open carrying of guns",NA,"Long Gun",NA,"No law restricting open carry for long guns",NA
"37","AK1038","Alaska",NA,"Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring permit for the purchase of a handgun",NA
"38","AK1039","Alaska",NA,"Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring permit for the purchase of a long gun",NA
"39","AK1040","Alaska","Permissive","Castle Doctrine",NA,"Allows individuals to use deadly force in defense of themselves, others, and their homes without the duty to retreat","Implement","Handgun And/Or Long Gun",1900-01-01,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).","1978-01-01"
"40","AK1041","Alaska","Restrictive","Waiting Period","Federal","Restates a federal law requiring a five-day waiting period","Implement","Handgun",1994-02-28,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless—“(A) after the most recent proposal of such transfer by the transferee—(ii)(I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or

“(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law","1998-11-30"
"41","AK1042","Alaska","Permissive","Waiting Period","Federal","Restates a federal law requiring a five-day waiting period","Repeal","Handgun",1998-11-30,"[Repealed]",NA
"42","AK1043","Alaska",NA,"Firearm Removal At Scene Of Domestic Violence",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law concerning removal of firearms at scene of domestic violence incident","1996-07-01"
"43","AK1044","Alaska","Restrictive","Firearm Removal At Scene Of Domestic Violence","Authorized","Allows police officers to seize a firearm at the scene of a domestic violence incident","Implement","Handgun And/Or Long Gun",1996-07-01,"If a peace officer investigating a crime involving domestic violence determines that it is necessary to protect the victim or the victim's family from domestic violence or to protect the officer or the public during the investigation, the officer may (1) seize a deadly weapon in plain view of the officer, and (2) if a deadly weapon was actually possessed during or used in the domestic violence, seize all deadly weapons owned, used, possessed, or within the control of the alleged perpetrator. If the weapon is not needed as evidence in a criminal case, the law enforcement agency having custody of the weapon, within 24 hours of making the determination that the weapon is not needed as evidence in a criminal case, shall make the weapon available for pickup by the owner of the weapon during regular business hours.",NA
"44","AK1045","Alaska",NA,"Firearms In College/University",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law concerning firearms on college or university campus",NA
"45","AK1046","Alaska",NA,"Local Laws Preempted By State",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"State law does not preempt local law","1986-01-01"
"46","AK1047","Alaska","Permissive","Local Laws Preempted By State","Comprehensive","Prohibits local laws for a specific class of laws","Implement","Handgun And/Or Long Gun",1986-01-01,"The authority to regulate firearms and knives is reserved to the state, and, except as specifically provided by statute, a municipality may not enact or enforce an ordinance regulating the possession, ownership, sale, transfer, use, carrying, transportation, licensing, taxation, or registration of firearms or knives.",NA
"47","AK1048","Alaska",NA,"Prohibited Possessor","Convicted Of Crime : Removal","Requires police to remove firearms from individuals convicted of a firearm-prohibiting crime",NA,"Handgun And/Or Long Gun",NA,"No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime",NA
"48","AK1049","Alaska",NA,"Required Reporting Of Lost Or Stolen Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law requiring reporting of lost or stolen firearms",NA
"49","AK1050","Alaska","Permissive","Castle Doctrine","Stand Your Ground","Expands castle doctrine to any location","Modify","Handgun And/Or Long Gun",2013-09-18,"A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others being defended, the person can avoid the necessity of using deadly force by leaving the area of the encounter, except there is no duty to leave the area if the person is 

(1) on premises (A) that the person owns or leases; (B) where the person resides, temporarily or permanently; or (C) as a guest or express or implied agent of the owner, lessor, or resident; 

(2) a peace officer acting within the scope and authority of the officer's employment or a person assisting a peace officer under AS 11.81.380;

(3) in a building where the person works in the ordinary course of the person's employment;

(4) protecting a child or a member of the person's household; or

(5) in any other place where the person has a right to be.",NA
"50","AL1001","Alabama",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Handgun",NA,"No law requiring background checks for private sales of handguns",NA
"51","AL1002","Alabama",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Handgun",NA,"No law requiring background checks for sales from dealers of handguns",NA
"52","AL1003","Alabama","Permissive","Carrying A Concealed Weapon (Ccw)","Shall Issue","Requires permits for concealed carrying; removes Law Enforcement discretion in issuing permit; only objective criteria for issuing permits","Modify","Handgun",1975-01-01,"The sheriff of a county, upon the application of any person residing in that county, within 30 days from receipt of a complete application and accompanying fee, shall issue or renew a permit for such person to carry a pistol in a vehicle or concealed on or about his or her person within this state for one to five year increments, as requested by the person seeking the permit, from date of issue, unless the sheriff determines that the person is prohibited from the possession of a pistol or firearm pursuant to state or federal law, or has a reasonable suspicion that the person may use a weapon unlawfully or in such other manner that would endanger the person's self or others. [goes on to list what sheriff may consider]",NA
"53","AL1004","Alabama","Permissive","Castle Doctrine",NA,"Allows individuals to use deadly force in defense of themselves, others, and their homes without the duty to retreat","Modify","Handgun And/Or Long Gun",1978-05-16,"A person may use deadly physical force under the circumstances set forth in subsection (1) of this section only: (a) In defense of a person a provided in § 610 of this chapter (Justification: Use of Force in Defense of a Person): or (b) When he reasonably believes it is necessary to prevent the commission of arson in the first or second degree by the trespasser","2006-06-01"
"54","AL1005","Alabama","Permissive","Castle Doctrine","Stand Your Ground","Expands castle doctrine to any location","Modify","Handgun And/Or Long Gun",2006-06-01,"A person who is justified under subsection (a) in using physical force, including deadly physical force, and who is not engaged in an unlawful activity and is in any place where he or she has the right to be has no duty to retreat and has the right to stand his or her ground.",NA
"55","AL1006","Alabama",NA,"Child Access Laws","Negligent Storage","Mandates safe storage of guns",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - negligent storage (CAP)",NA
"56","AL1007","Alabama","Restrictive","Dealer License",NA,"Requires dealers of firearms to be licensed by the state","Implement","Handgun",1951-09-11,"Section 1. That Article 2, Chapter 40, of Title 14 of the 1940 Code of Alabama, be and the same is hereby amended to read as follows: [...] Section 180. Dealers to be licensed. -- No retail dealer shall sell or otherwise transfer, or expose for sale or transfer, or have in his possession with intent to sell, or otherwise transfer, any pistol without being licensed and hereinafter provided. Section 181. Dealer's licenses, by whom granted and conditions thereof.-The duly constituted licensing authorities of any city, town or political subdivision of this state may grant licenses in forms prescribed by the secretary of state, effective for not more than one year from date of issue, permitting the licensee to sell pistols at retail within this state subject to the following conditions in addition to those specified in section 179 of this title, for breach of any of which the license shall be forfeited and the licensee subject to punishment as provided in this article. The business shall be carried on only in the building designated in the license. The license or a copy thereof, certified by the issuing authority, shall be displayed on the premises where it can easily be read. No pistol shall be sold in violation of any provision of this article, nor shall a pistol be sold under any circumstances unless the purchaser is personally known to the seller or shall present clear evidence of his identity. A true record in triplicate shall be made of every pistol sold, in a book kept for the purpose, the form of which may be prescribed by the secretary of state and shall be personally signed by the purchaser and by the person effecting the sale, the caliber, make, model and manufacturer's number of the weapon, the name, address, occupation, color and place of birth of purchaser and a statement signed by the purchaser that he has never been convicted in this state or elsewhere of a crime of violence. One copy shall within six hours be sent by registered mail to the chief of police of the municipality or the sheriff of the county of which the dealer is a resident; the duplicate the dealer shall within seven days send to the secretary of state; the triplicate the dealer shall retain for six years. No pistol or imitation thereof or placard advertising the sale thereof

shall be displayed in any part of any premises where it can readily be seen from the outside. The fee for issuing said license shall be fifty cents which fee shall be paid into the state treasury.",NA
"57","AL1008","Alabama",NA,"Dealer License",NA,"Requires dealers of firearms to be licensed by the state",NA,"Long Gun",NA,"No law requiring dealer license for long guns",NA
"58","AL1009","Alabama",NA,"Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun",NA,"Handgun",NA,"No law imposing minimum age for youth possession of handguns","2015-10-01"
"59","AL1010","Alabama",NA,"Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age",NA,"Long Gun",NA,"No law imposing minimum purchase and sale age for long guns",NA
"60","AL1011","Alabama","Restrictive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Implement","Handgun",1936-10-01,"§ 13A-11-57(a) Any person who sells, gives or lends to any minor any pistol , except under the circumstances provided in Section.

13A-11-72, bowie knife, or other knife of like kind or description, shall, on conviction, be fined not less than fifty dollars ($ 50) nor more than five hundred dollars ($ 500).",NA
"61","AL1012","Alabama","Restrictive","Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun","Implement","Handgun",2015-10-01,"No person who is a minor, except under the circumstances provided in this section, a drug addict, or an habitual drunkard shall own a pistol or have one in his or her possession or under his or her control.",NA
"62","AL1014","Alabama",NA,"Open Carry","Not Restricted","Does not restrict the open carrying of guns",NA,"Handgun",NA,"No law restricting open carry for handguns",NA
"63","AL1015","Alabama","Restrictive","Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun",1936-10-01,"§ 13A-11-79 ... A true record in triplicate shall be made of every pistol sold, in a book kept for the purpose, the form of which may be prescribed by the Secretary of State and shall be personally signed by the purchaser and by the person effecting the sale, the caliber, make, model and manufacturer's number of the weapon, the name, address, occupation, color and place of birth of purchaser and a statement signed by the purchaser that he has never been convicted in this state or elsewhere of a crime of violence. One copy shall be sent within six hours by registered or certified mail to the chief of police of the municipality or the sheriff of the county of which the dealer is a resident; the dealer shall within seven days send the duplicate to the Secretary of State; and the dealer shall retain the triplicate for six years. ...","2015-09-01"
"64","AL1016","Alabama","Permissive","Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Repeal","Handgun",2015-09-01,"(b) All records of pistol, revolver, or maxim silencer sales that are maintained or in the custody of dealers, the chief

of police, the sheriff, or the Secretary of State pursuant to this section or Section 40-12-143, including any records or

databases compiled as a result of or based on the records or information so maintained or received, shall be permanently

removed and destroyed without reproduction of the removed documents no later than February 28, 2016. This section

does not apply to any record necessary for an active investigation or ongoing prosecution.",NA
"65","AL1017","Alabama",NA,"Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring registration of long guns",NA
"66","AL1018","Alabama","Restrictive","Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun",1951-09-11,"No seller shall deliver a pistol to the purchaser thereof until forty-eight hours shall have elapsed.","2000-08-01"
"67","AL1019","Alabama","Permissive","Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Repeal","Handgun",2000-08-01,"Repealed.",NA
"68","AL1020","Alabama",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Long Gun",NA,"No law requiring background checks for private sales of long guns",NA
"69","AL1021","Alabama",NA,"Child Access Laws","Intentional, Reckless, Or Knowing Provision","Prohibits individuals from furnishing guns to minors",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - intentional, reckless, or knowing provision",NA
"70","AL1022","Alabama",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Long Gun",NA,"No law requiring background checks for sales from dealers of long guns",NA
"71","AL1023","Alabama","Restrictive","Prohibited Possessor","Dvro","Prohibits individuals with a domestic violence restraining order from owning, possessing, or purchasing firearms","Implement","Handgun And/Or Long Gun",2015-06-04,"No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence, misdemeanor offense of domestic violence, violent offense as listed in Section 12-25-32(14), anyone who is subject to a valid protection order for domestic abuse, or anyone of unsound mind shall own a pistol firearm or have one in his or her possession or under his or her control.

",NA
